peak_label,chemical_formula,mz_mean_neg,rt_expected_neg,detected_neg,mz_mean_pos,rt_expected_pos,is_standard,monoisotopic_mass,refmet_name,pubchem_cid,refmet_mass,formula,inchi_key,super_class,main_class,sub_class,refmet_regno,Smiles
N-Acetylleucine,C8H15NO3,172.0979,1.7,D,174.1125,1.7,True,173.105193353,N-Acetylleucine,70912,173.1052,C8H15NO3,WXNXCEHXYPACJF-ZETCQYMHSA-N,Organic acids,Amino acids and peptides,Amino acids,41523,CC(C)CC(C(=O)O)NC(=O)C
N-Acetylphenylalanine,C11H13NO3,206.0823,2.66,D,208.0969,2.66,True,207.0895432888,N-Acetylphenylalanine,74839,207.0895,C11H13NO3,CBQJSKKFNMDLON-JTQLQIEISA-N,Organic acids,Amino acids and peptides,Amino acids,37286,CC(=O)NC(CC1=CC=CC=C1)C(=O)O
N-acetyl-D-glucosamine,C8H15NO6,220.0827,5.19,D,222.0973,5.19,True,221.0899372193,N-acetyl-D-glucosamine,439174,221.0899,C8H15NO6,OVRNDRQMDRJTHS-RTRLPJTCSA-N,Carbohydrates,Aminosaccharides,Acylaminosugars,67000,CC(=O)NC1C(C(C(OC1O)CO)O)O
N-acetylglutamic acid,C7H11NO5,188.0564,4.79,D,190.071,4.79,True,189.0637224688,N-acetylglutamic acid,70914,189.0637,C7H11NO5,RFMMMVDNIPUKGG-YFKPBYRVSA-N,Organic acids,Amino acids and peptides,Amino acids,49869,CC(=O)NC(CCC(=O)O)C(=O)O
N-acetylglycine,C4H7NO3,116.0353,3.74,D,118.0499,3.74,True,117.0425930962,N-acetylglycine,10972,117.0426,C4H7NO3,OKJIRPAQVSHGFK-UHFFFAOYSA-N,Organic acids,Amino acids and peptides,Amino acids,37295,CC(=O)NCC(=O)O
N-acetylmethionine,C7H13NO3S,190.0543,2.87,D,192.0689,2.87,True,191.0616139788,N-acetylmethionine,448580,191.0616,C7H13NO3S,XUYPXLNMDZIRQH-LURJTMIESA-N,Organic acids,Amino acids and peptides,Amino acids,53852,CC(=O)NC(CCSC)C(=O)O
N-acetylthreonine,C6H11NO4,160.0615,4.27,D,162.0761,4.27,True,161.0688078467,N-acetylthreonine,152204,161.0688,C6H11NO4,PEDXUVCGOLSNLQ-WUJLRWPWSA-N,Organic acids,Amino acids and peptides,Amino acids,71626,CC(C(C(=O)O)NC(=O)C)O
Niacinamide,C6H6N2O,121.0407,1.18,ND,123.0553,1.18,True,122.0480128251,Niacinamide,936,122.04799999999999,C6H6N2O,DFPAKSUCGFBDDF-UHFFFAOYSA-N,Organoheterocyclic compounds,Pyridinecarboxylic acids,Nicotinamides,37778,C1=CC(=CN=C1)C(=O)N
Nicotinic acid,C6H5NO2,122.0247,3.15,D,124.0393,3.15,True,123.0320284099,Nicotinic acid,938,123.03200000000001,C6H5NO2,PVNIIMVLHYAWGP-UHFFFAOYSA-N,Organoheterocyclic compounds,Pyridinecarboxylic acids,Pyridinecarboxylic acids,37821,C1=CC(=CN=C1)C(=O)O
Ornithine,C5H12N2O2,,,,133.0972,8.42,True,132.0898776398,Ornithine,6262,132.0899,C5H12N2O2,AHLPHDHHMVZTML-BYPYZUCNSA-N,Organic acids,Amino acids and peptides,Amino acids,37139,C(CC(C(=O)O)N)CN
Pantothenic acid,C9H17NO5,218.1034,3.15,D,220.118,3.15,True,219.1106726614,Pantothenic acid,6613,219.1107,C9H17NO5,GHOKWGTUZJEAQD-ZETCQYMHSA-N,Organic acids,Amino acids and peptides,Amino acids,49832,CC(C)(CO)C(C(=O)NCCC(=O)O)O
Phenylalanine,C9H11NO2,,,,166.0863,6.48,True,165.0789786025,Phenylalanine,6140,165.079,C9H11NO2,COLNVLDHVKWLRT-QMMMGPOBSA-N,Organic acids,Amino acids and peptides,Amino acids,37108,C1=CC=C(C=C1)CC(C(=O)O)N
Phosphoserine,C3H8NO6P,184.0016,8.76,D,,,True,185.0089235046,Phosphoserine,68841,185.0089,C3H8NO6P,BZQFBWGGLXLEPQ-REOHCLBHSA-N,Organic acids,Amino acids and peptides,Amino acids,37174,C(C(C(=O)O)N)OP(=O)(O)O
Proline,C5H9NO2,,,,116.0707,7.45,True,115.0633285383,Proline,145742,115.0633,C5H9NO2,ONIBWKKTOPOVIA-BYPYZUCNSA-N,Organic acids,Amino acids and peptides,Amino acids,37110,C1CC(NC1)C(=O)O
